41.676256,140.435482,和洋亭苑あおき,蕎麦処瑠瞳,01392-2-2052,http://tabelog.com/hokkaido/A0105/A010502/1030823/
41.674559,140.433624,そば処石川屋,01392-2-2146,http://tabelog.com/hokkaido/A0105/A010502/1017139/
41.676222,140.434371,急行食堂,01392-2-2055,http://tabelog.com/hokkaido/A0105/A010501/1007175/
41.686863,140.446487,道玄坂,01392-2-5460,http://loco.yahoo.co.jp/place/g-du0mxhFNW6U/
41.688910,140.448364,食事処のとや,01392-2-4055,http://tabelog.com/hokkaido/A0105/A010502/1030566/
41.686319,140.445262,ラーメン専門店西山,01392-2-5176,http://kikonai-kankou.net/gurume004.html#nisiyama
41.676917,140.435454,蕎麦処瑠瞳,01392-2-5658,http://tabelog.com/hokkaido/A0105/A010502/1030541/
41.676917,140.435454,富士食堂,01392-2-2382,http://tabelog.com/hokkaido/A0105/A010502/1019497/
41.677325,140.436743,来花,01392-2-5515,http://r.gnavi.co.jp/472a3ehv0000/
41.676556,140.436511,恵美,01392-2-4941,http://www.hotpepper.jp/strJ000912376/
41.677241,140.436200,たべもの居酒屋おかめ,01392-2-3391,http://tabelog.com/hokkaido/A0105/A010502/1017312/
41.677033,140.435867,おてもやん,01392-2-3456,http://tabelog.com/hokkaido/A0105/A010502/1014794/
41.674928,140.431788,杉の木,01392-2-4633,http://tabelog.com/hokkaido/A0105/A010502/1018264/
41.676068,140.436106,清本鮨,01392-2-2371,http://tabelog.com/hokkaido/A0105/A010502/1023303/
41.677042,140.436332,美乃久鮨し店,01392-2-2156,http://tabelog.com/hokkaido/A0105/A010502/1031599/
41.677417,140.436845,キャベツ倶楽部,01392-2-3380,http://tabelog.com/hokkaido/A0105/A010502/1030587/
41.665011,140.430536,ステーキハウス暁,01392-2-3057,http://tabelog.com/hokkaido/A0105/A010502/1030567/
41.692240,140.451831,その喫茶店,01392-2-2647,http://www.hotpepper.jp/strJ000259020/
41.698866,140.488888,喫茶ドン・ボーイ,01392-2-5577,http://tabelog.com/hokkaido/A0105/A010502/1015423/
41.696612,140.457458,浜焼ヤママル,01392-2-1788,http://tabelog.com/hokkaido/A0105/A010502/1010365/
